doc1,doc2,cosine
2P_1.pdf,2P_10.pdf,0.0
2P_1.pdf,2P_100.pdf,0.003
2P_1.pdf,2P_101.pdf,0.0
2P_1.pdf,2P_102.pdf,0.003
2P_1.pdf,2P_104.pdf,0.005
2P_1.pdf,2P_105.pdf,0.0
2P_1.pdf,2P_106.pdf,0.012
2P_1.pdf,2P_107.pdf,0.013
2P_1.pdf,2P_108.pdf,0.0
2P_1.pdf,2P_109.pdf,0.0
2P_1.pdf,2P_11.pdf,0.0
2P_1.pdf,2P_110.pdf,0.0
2P_1.pdf,2P_111.pdf,0.0
2P_1.pdf,2P_112.pdf,0.007
2P_1.pdf,2P_113.pdf,0.005
2P_1.pdf,2P_114.pdf,0.0
2P_1.pdf,2P_115.pdf,0.0
2P_1.pdf,2P_116.pdf,0.009
2P_1.pdf,2P_117.pdf,0.009
2P_1.pdf,2P_118.pdf,0.0
2P_1.pdf,2P_119.pdf,0.007
2P_1.pdf,2P_12.pdf,0.0
2P_1.pdf,2P_120.pdf,0.0
2P_1.pdf,2P_121.pdf,0.004
2P_1.pdf,2P_122.pdf,0.0
2P_1.pdf,2P_123.pdf,0.011
2P_1.pdf,2P_124.pdf,0.0
2P_1.pdf,2P_13.pdf,0.0
2P_1.pdf,2P_14.pdf,0.0
2P_1.pdf,2P_15.pdf,0.0
2P_1.pdf,2P_16.pdf,0.0
2P_1.pdf,2P_17.pdf,0.0
2P_1.pdf,2P_18.pdf,0.0
2P_1.pdf,2P_19.pdf,0.0
2P_1.pdf,2P_2.pdf,0.08
2P_1.pdf,2P_20.pdf,0.0
2P_1.pdf,2P_21.pdf,0.0
2P_1.pdf,2P_22.pdf,0.0
2P_1.pdf,2P_23.pdf,0.01
2P_1.pdf,2P_24.pdf,0.0
2P_1.pdf,2P_25.pdf,0.008
2P_1.pdf,2P_26.pdf,0.039
2P_1.pdf,2P_27.pdf,0.021
2P_1.pdf,2P_28.pdf,0.0
2P_1.pdf,2P_29.pdf,0.0
2P_1.pdf,2P_3.pdf,0.0
2P_1.pdf,2P_30.pdf,0.005
2P_1.pdf,2P_31.pdf,0.0
2P_1.pdf,2P_32.pdf,0.021
2P_1.pdf,2P_33.pdf,0.03
2P_1.pdf,2P_34.pdf,0.011
2P_1.pdf,2P_35.pdf,0.0
2P_1.pdf,2P_36.pdf,0.0
2P_1.pdf,2P_37.pdf,0.007
2P_1.pdf,2P_38.pdf,0.01
2P_1.pdf,2P_39.pdf,0.015
2P_1.pdf,2P_4.pdf,0.0
2P_1.pdf,2P_40.pdf,0.005
2P_1.pdf,2P_41.pdf,0.011
2P_1.pdf,2P_42.pdf,0.017
2P_1.pdf,2P_43.pdf,0.009
