doc,clusters2,clusters3,clusters4,clusters5,clusters6,clusters7,clusters8,clusters9,clusters10,clusters11,clusters12,clusters13,clusters14,clusters15,clusters16,clusters17,clusters18,clusters19,clusters20
2P_1.pdf,1,1,1,1,1,0,1,6,0,1,10,1,11,11,11,16,16,11,16
2P_10.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_100.pdf,0,1,2,2,2,2,0,2,7,0,10,1,11,11,11,16,16,11,16
2P_101.pdf,0,1,2,2,2,2,0,2,7,0,0,8,2,2,2,0,0,1,0
2P_102.pdf,0,1,2,2,2,4,5,7,1,5,8,8,10,10,10,14,14,13,14
2P_104.pdf,0,1,0,0,0,1,2,8,8,2,8,11,10,10,15,8,8,13,8
2P_105.pdf,0,1,0,0,0,1,2,8,8,2,6,0,7,7,10,14,14,17,19
2P_106.pdf,1,1,1,1,1,0,1,0,9,8,10,1,11,11,11,16,16,11,16
2P_107.pdf,1,1,1,1,1,0,1,0,9,8,4,6,5,5,5,4,4,7,4
2P_108.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_109.pdf,0,1,0,0,0,4,5,7,1,5,6,0,7,7,7,14,14,17,19
2P_11.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_110.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_111.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_112.pdf,1,1,1,1,1,0,1,0,9,8,0,8,2,2,2,0,0,1,0
2P_113.pdf,0,1,0,0,0,1,2,8,8,2,8,11,10,10,10,14,14,13,14
2P_114.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_115.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_116.pdf,0,1,0,0,0,1,7,1,4,7,6,0,7,7,7,6,6,9,6
2P_117.pdf,1,1,1,1,1,0,1,6,0,9,0,8,2,2,2,0,0,1,0
2P_118.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_119.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_12.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_120.pdf,0,2,3,3,3,3,3,3,2,3,2,3,4,4,4,2,2,3,2
2P_121.pdf,0,1,2,2,2,2,0,2,7,0,0,8,2,2,2,0,0,1,0
2P_122.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_123.pdf,0,1,2,2,2,2,0,2,7,0,10,10,13,13,13,10,17,18,17
2P_124.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
2P_13.pdf,1,1,1,1,1,0,1,6,0,1,0,8,2,2,2,0,0,1,0
