Counter,Authors,Title,Publication,Year,Dates,Category,Subject,File,Volume,Pages,Address,Publisher,Editor,Citation,ReferredByURL,GoogleScholarURL
1,Bilal Khan#Alexei Miasnikov#Denis Serbin,On positive theories of groups with regular free length functions,Journal of Computation and Algebra,2007,NULL,Journal,Group theory,pdf/39.pdf,17(1),NULL,NULL,World Scientific,NULL,0,"http://scholar.google.com/scholar?cites=15369717530662691423&as_sdt=5,33&sciodt=0,33&hl=en",http://scholar.google.com/scholar?q=On+positive+theories+of+groups+with+regular+free+length+functions&btnG=&hl=en&as_sdt=5%2C33&cites=12378859636054300276&scipsc=
2,Delaram Kahrobaei#Bilal Khan,A Non-Commutative Generalization of ElGamal Key Exchange using Polycyclic Groups,IEEE Globecom,2006,"Nov 27-Dec 1, 2006",Conference,Group theory,pdf/30.pdf,NULL,5-Jan,"San Francisco, CA",IEEE,NULL,0,http://scholar.google.com/scholar?oi=bibs&hl=en&cites=12378859636054300276&as_sdt=5,http://scholar.google.com/citations?view_op=view_citation&hl=en&user=ScTS9PkAAAAJ&citation_for_view=ScTS9PkAAAAJ:d1gkVwhDpl0C
3,Bilal Khan,The Structure of Automorphic Conjugacy in the Free Group of Rank Two,Contemporary Mathematics Series ,2003,NULL,Conference,Group theory,pdf/19.pdf,349,115-196,NULL,American Mathematical Society ,NULL,0,"http://scholar.google.com/scholar?cites=9998461147169396573&as_sdt=5,33&sciodt=0,33&hl=en",http://scholar.google.com/scholar?q=The+Structure+of+Automorphic+Conjugacy+in+the+Free+Group+of+Rank+Two&btnG=&hl=en&as_sdt=0%2C33
4,Bilal Khan,Positively Generated Subgroups of Free Groups and the Hanna Neumann Conjecture,Contemporary Mathematics Series,2002,NULL,Conference,Group theory,pdf/16.pdf,296,155-170,NULL,American Mathematical Society ,NULL,0,"http://scholar.google.com/scholar?cites=10660172311464970534&as_sdt=5,33&sciodt=0,33&hl=en",http://scholar.google.com/scholar?q=Positively+Generated+Subgroups+of+Free+Groups+and+the+Hanna+Neumann+Conjecture&btnG=&hl=en&as_sdt=0%2C33
8,Yuri Cantor#Nancy Griffeth#Bilal Khan,Securing BGP Through Existing Infrastructure and Contractual Chains,Computers Freedom and Privacy conference,2010,"June 15-18, 2010",Conference,Network security,bgp.pdf,NULL,NULL,"San Jose, CA",NULL,NULL,0,None,http://scholar.google.com/scholar?q=Securing+BGP+Through+Existing+Infrastructure+and+Contractual+Chains&btnG=&hl=en&as_sdt=0%2C33
9,Jaroslaw Paduch#Jamie Levy#Bilal Khan,Using a Secure Permutational Covert Channel to Detect Local and Wide Area Interposition Attacks,International Conference of Wireless Communications & Mobile Computing,2009,Network security,pdf/50.pdf,Network security,79-83 ,"Leipzig, Germany",Association of Computing Machinery,NULL,0,"http://scholar.google.com/scholar?cites=6177097731277045636&as_sdt=5,33&sciodt=0,33&hl=en",http://scholar.google.com/scholar?q=Using+a+Secure+Permutational+Covert+Channel+to+Detect+Local+and+Wide+Area+Interposition+Attacks&btnG=&hl=en&as_sdt=0%2C33,,
10,Omer Demir#Bilal Khan,Quantifying Distributed System Stability through Simulation: A Case Study of an Agent-Based System for Flow Reconstruction of DDoS Attacks,International Conference on Intelligent Systems Modelling and Simulation,2010,"Jan 27-29, 2010",Conference,Network security,pdf/59.pdf,NULL,312-317,"Liverpool, UK",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=2592313887833006962&as_sdt=5,33&sciodt=0,33&hl=en",http://scholar.google.com/scholar?hl=en&q=Quantifying+Distributed+System+Stability+through+Simulation%3A+A+Case+Study+of+an+Agent-Based+System+for+Flow+Reconstruction+of+DDoS+Attacks&btnG=&as_sdt=1%2C33&as_sdtp=
95,Bilal Khan#Kirk Dombrowski#Ric Curtis#Travis Wendel,Estimating Vertex Measures in Social Networks by Sampling Completions of RDS Trees,Social Networking,2015,,Journal,Social networks,pdf/87.pdf,4(1),16-Jan,NULL,SCIRP,NULL,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4380167/,https://scholar.google.com/scholar?hl=en&q=Estimating+Vertex+Measures+in+Social+Networks+by+Sampling+Completions+of+RDS+Trees&btnG=&as_sdt=1%2C28&as_sdtp=
12,Carol Dottin#Bilal Khan,Scheduling Cooperative Emergency Response (or how the Meek shall overcome the Greedy),International Conference of Wireless Communications & Mobile Computing,2009,NULL,Conference,Network security,pdf/49.pdf,NULL,598-602,"Leipzig, Germany",NULL,NULL,0,None,http://scholar.google.com/scholar?q=Scheduling+Cooperative+Emergency+Response+%28or+how+the+Meek+shall+overcome+the+Greedy%29&btnG=&hl=en&as_sdt=5%2C33&sciodt=0%2C33&cites=2592313887833006962&scipsc=
13,Jamie Levy#Jaroslaw Paduch#Bilal Khan,Superimposing Permutational Covert Channels onto Reliable Stream Protocols,MALWARE,2008,"Oct 7-8, 2008",Conference,Network security,pdf/45.pdf,NULL,NULL,NULL,NULL,NULL,0,"http://scholar.google.com/scholar?cites=9419364216118603828&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=9419364216118603828&hl=en&as_sdt=5,33&sciodt=0,33"
14,Joel Sandin#Bilal Khan,Petrifying Worm Cultures: Scalable Detection and Immunization in Untrusted Environments,IEEE International Conference on Communications,2007,"June 24,-28, 2007",Conference,Network security,pdf/37.pdf,NULL,1423-1428,"Glasgow, Scotland",NULL,NULL,0,"http://scholar.google.com/scholar?cites=15210825600346042674&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=15210825600346042674&hl=en&as_sdt=5,33&sciodt=0,33"
15,Jamie Levy#Bilal Khan,Hiding Your Wares: Transparently Retrofitting Memory Confidentiality into Legacy Applications,IEEE International Conference on Communications,2007,"June 24-28 , 2007",Conference,Network security,pdf/36.pdf,NULL,1368-1372,"Glasgow, Scotland",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=3621662081376211837&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=3621662081376211837&hl=en&as_sdt=5,33&sciodt=0,33"
16,Bilal Khan#Kiran Bhutani,Sparse Periodic Goldbach Sets,3rd International Conference on Mathematical Sciences,2008,NULL,Conference,Graph theory,pdf/44.pdf,NULL,NULL,"Dubai, UAE",NULL,NULL,0,None,"http://scholar.google.com/scholar?cluster=10853925103573049131&hl=en&as_sdt=0,33"
17,Bilal Khan#Kiran Bhutani,Graphic Arithmetic II: +Irreducibility Canonical Decompositions and Cancellation Laws,3rd International Conference on Mathematical Sciences,2008,NULL,Conference,Graph theory,pdf/43.pdf,NULL,NULL,"Dubai, UAE",NULL,NULL,0,"http://scholar.google.com/scholar?cites=11327386392031688864&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=11327386392031688864&hl=en&as_sdt=5,33&sciodt=0,33"
18,Bilal Khan#Kiran Bhutani,Compression and expansion in graphs using overlays,Networks,2011,NULL,Journal,Graph theory,pdf/63.pdf,58,36-42,NULL,NULL,NULL,0,http://onlinelibrary.wiley.com/doi/10.1002/net.20411/abstract,https://scholar.google.com/scholar?q=Compression+and+expansion+in+graphs+using+overlays%2C+Networks%2C+Volume+58&btnG=&hl=en&as_sdt=0%2C28
19,Bilal Khan#Kiran Bhutani#Delaram Kahrobaei,A Graphic Generalization of Arithmetic,Electronic Journal of Combinatorial Number Theory,2007,NULL,Journal,Graph theory,pdf/38.pdf,7.A12,NULL,NULL,NULL,NULL,0,"http://scholar.google.com/scholar?cites=4665737848312407001&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=4665737848312407001&hl=en&as_sdt=0,33"
20,Kiran Bhutani#Bilal Khan,Distance Between Graphs Using Graph Labelings,Ars Combinatoria,2005,NULL,Journal,Graph theory,pdf/24.pdf,77,45-52,NULL,NULL,NULL,0,"http://scholar.google.com/scholar?cites=2096502470369365709&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=2096502470369365709&hl=en&as_sdt=5,33&sciodt=0,33"
21,Kiran Bhutani#Bilal Khan,A Metric on the Class of Connected Simple Graphs of Given Order,Aequationes Mathematicae,2003,NULL,Journal,Graph theory,pdf/20.pdf,66(3),232-240,Basel,Springer,NULL,0,"http://scholar.google.com/scholar?cites=4357893389020625210&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=4357893389020625210&hl=en&as_sdt=5,33&sciodt=0,33"
22,Bilal Khan#Dardo Kleiner#David Talmage#Abdella Battou,The Effect of Wavelength Advertisement on the Performance of an Optical Routing Protocol,IEEE Globecom,2004,"Nov 29 -Dec 3, 2004",Conference,Optical networks,pdf/22.pdf,3,1985-1988,"Dallas,TX",NULL,NULL,0,"http://scholar.google.com/scholar?cites=324000207320594632&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=324000207320594632&hl=en&as_sdt=5,33&sciodt=0,33"
23,Abdella Battou#Ghassen Ben Brahim#Bilal Khan,The Optical Network Control Plane,Optical Switching/Networking and Computing for Multimedia Systems (Chapter 5),2002,NULL,Chapter,Optical networks,pdf/13.pdf,NULL,133-178,NULL,Marcel-Dekker,Abdella Battou and Mohsen Guizani,0,None,"http://scholar.google.com/scholar?cluster=1698962389218762787&hl=en&as_sdt=0,33"
